N,kappa_bundle_Km_over_Nk,eta_alphaT0,q0_Nh0W,A_seed_one_step,lambda_seed,mean_size,median_size,p90_size,p99_size,max_size,P_size_ge_2,P_size_ge_10,P_spanning,mean_duration,n_avalanches
100,17.78279410038923,5.0,0.5,1.0026669788528273,0.0005326857550627118,1.6515,1.0,3.0,6.0,9,0.388,0.0,0.0,0.3021091636415615,2000
100,31.622776601683793,5.0,0.5,1.001534317324248,0.0003066282924064634,1.625,1.0,3.0,5.009999999999991,9,0.397,0.0,0.0,0.2860960454401189,2000
100,0.01,10.0,0.5,1.1051709180756477,0.010000000000000009,2.0135,1.0,3.0,8.0,100,0.425,0.005,0.002,0.3825500548089855,2000
100,0.01778279410038923,10.0,0.5,1.1043177583133694,0.009922773100057292,1.883,1.0,3.0,7.0,100,0.4,0.004,0.001,0.35615410994208857,2000
100,0.03162277660168379,10.0,0.5,1.1028342833374472,0.009788348722278739,1.796,1.0,3.0,7.0,13,0.4265,0.001,0.0,0.3578915160440043,2000
100,0.056234132519034905,10.0,0.5,1.100297832531336,0.009558090000297392,1.8885,1.0,3.0,7.0,100,0.4215,0.003,0.001,0.36595120718027896,2000
100,0.1,10.0,0.5,1.0960832232508544,0.00917431192660545,1.761,1.0,3.0,6.0,15,0.415,0.0005,0.0,0.3413339510932991,2000
100,0.1778279410038923,10.0,0.5,1.0894021422762732,0.00856290524390424,1.781,1.0,3.0,7.0,12,0.4295,0.0035,0.0,0.3524267511843279,2000
100,0.31622776601683794,10.0,0.5,1.0795629971764462,0.007655632700638071,1.824,1.0,3.0,6.0,100,0.39,0.0015,0.001,0.3459043991128808,2000
100,0.5623413251903491,10.0,0.5,1.0665389955640108,0.006441882231521312,1.776,1.0,3.0,7.0,16,0.414,0.001,0.0,0.3494208722980128,2000
100,1.0,10.0,0.5,1.051535268028453,0.005025125628140614,1.718,1.0,3.0,6.0,13,0.4225,0.002,0.0,0.3210312677555808,2000
100,1.7782794100389228,10.0,0.5,1.036783903390232,0.00361235212158717,1.669,1.0,3.0,5.0,8,0.4045,0.0,0.0,0.3071474722177398,2000
100,3.1622776601683795,10.0,0.5,1.0243755094937825,0.002408316788621301,1.665,1.0,3.0,5.0,9,0.4025,0.0,0.0,0.297116385380227,2000
100,5.62341325190349,10.0,0.5,1.0152356824679063,0.001512078501539449,1.6165,1.0,3.0,5.0,9,0.3895,0.0,0.0,0.2809474355869334,2000
100,10.0,10.0,0.5,1.0091407044692189,0.0009099181073703999,1.6695,1.0,3.0,5.009999999999991,9,0.406,0.0,0.0,0.3080979401835874,2000
100,17.78279410038923,10.0,0.5,1.0053410704818562,0.0005326857550627118,1.627,1.0,3.0,5.0,8,0.3985,0.0,0.0,0.2906997266963942,2000
100,31.622776601683793,10.0,0.5,1.0030709887781473,0.0003066282924064634,1.603,1.0,3.0,5.0,7,0.389,0.0,0.0,0.27376169512223497,2000
100,0.01,15.0,0.5,1.1618342427282833,0.010000000000000009,3.276,1.0,4.0,100.0,100,0.446,0.0175,0.014,0.485476682409586,2000
100,0.01778279410038923,15.0,0.5,1.160489149107079,0.009922773100057292,2.9885,1.0,4.0,100.0,100,0.4305,0.0135,0.0115,0.44061760141043754,2000
100,0.03162277660168379,15.0,0.5,1.158151536163516,0.009788348722278739,3.134,1.0,4.0,100.0,100,0.4375,0.017,0.013,0.44842045993002166,2000
100,0.056234132519034905,15.0,0.5,1.1541583187929998,0.009558090000297392,2.631,1.0,4.0,9.0,100,0.428,0.009,0.008,0.42324407615428494,2000
100,0.1,15.0,0.5,1.1475332962816893,0.00917431192660545,2.82,1.0,4.0,15.849999999999227,100,0.4195,0.015,0.01,0.4355637773103528,2000
100,0.1778279410038923,15.0,0.5,1.1370572651851538,0.00856290524390424,2.227,1.0,3.0,9.0,100,0.422,0.007,0.004,0.3969063089840457,2000
100,0.31622776601683794,15.0,0.5,1.1216877722360714,0.007655632700638071,2.3045,1.0,3.0,8.009999999999991,100,0.426,0.0085,0.005,0.4022182805359447,2000
100,0.5623413251903491,15.0,0.5,1.1014508149512912,0.006441882231521312,1.946,1.0,3.0,7.0,100,0.4195,0.004,0.0015,0.36942328765327376,2000
